Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;Торговый календарь
1;1COV@DE;Covestro AG;Акции;Акции иностранного эмитента обыкновенные;;DE0006062144;;1,00;0,01;EUR;01.03.2021 0:00:00;Эмитенты с листингом в ФРГ
2;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00846U1016;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
3;AA;Alcoa Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0138721065;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
4;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02376R1023;;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
5;AAN;The Aaron’s Company, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00258W1080;;1,00;0,01;USD;10.12.2020 0:00:00;Эмитенты с листингом в США
6;AAON;AAON, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0003602069;;1,00;0,01;USD;13.10.2020 0:00:00;Эмитенты с листингом в США
7;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00751Y1064;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
8;AAPL;Apple Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0378331005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
9;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01;USD;28.11.2014 0:00:00;Эмитенты с листингом в США
10;ABC;AmerisourceBergen Corporation;Акции;Акции иностранного эмитента обыкновенные;;US03073E1055;;1,00;0,01;USD;18.05.2020 0:00:00;Эмитенты с листингом в США
11;ABCL;AbCellera Biologics Inc.;Акции;Акции иностранного эмитента обыкновенные;;CA00288U1066;;1,00;0,01;USD;10.11.2021 0:00:00;Эмитенты с листингом в США
12;ABG;Asbury Automotive Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0434361046;;1,00;0,01;USD;28.02.2019 0:00:00;Эмитенты с листингом в США
13;ABMD;ABIOMED, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0036541003;;1,00;0,01;USD;04.04.2019 0:00:00;Эмитенты с листингом в США
14;ABNB;Airbnb, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0090661010;;1,00;0,01;USD;10.12.2020 0:00:00;Эмитенты с листингом в США
15;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента обыкновенные;;US0028241000;;1,00;0,01;USD;23.11.2016 0:00:00;Эмитенты с листингом в США
16;ACAD;ACADIA Pharmaceuticals Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0042251084;;1,00;0,01;USD;05.08.2019 0:00:00;Эмитенты с листингом в США
17;ACGL;Arch Capital Group Ltd.;Акции;Акции иностранного эмитента обыкновенные;;BMG0450A1053;;1,00;0,01;USD;26.10.2021 0:00:00;Эмитенты с листингом в США
18;ACH;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные класса H;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций класса H  Aluminum Corporation of China Limited;US0222761092;ESVUFA;1,00;0,01;USD;18.05.2017 0:00:00;Эмитенты с листингом в США
